SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
4248,03/09/2020,Hubei,Mainland China,2020-03-09T14:33:03,67743,3008,46488
4249,03/09/2020,Italy,Italy,2020-03-09T18:13:11,9172,463,724
4250,03/09/2020,South Korea,South Korea,2020-03-09T09:03:03,7478,53,118
4251,03/09/2020,Iran,Iran,2020-03-09T10:53:03,7161,237,2394
4252,03/09/2020,Guangdong,Mainland China,2020-03-09T01:43:01,1352,8,1260
4253,03/09/2020,Henan,Mainland China,2020-03-08T05:03:02,1272,22,1247
4254,03/09/2020,Zhejiang,Mainland China,2020-03-09T09:43:03,1215,1,1176
4255,03/09/2020,France,France,2020-03-09T00:43:03,1209,19,12
4256,03/09/2020,Germany,Germany,2020-03-09T18:13:11,1176,2,18
4257,03/09/2020,Spain,Spain,2020-03-09T18:13:11,1073,28,32
4258,03/09/2020,Hunan,Mainland China,2020-03-09T01:33:06,1018,4,979
4259,03/09/2020,Anhui,Mainland China,2020-03-08T05:13:06,990,6,984
4260,03/09/2020,Jiangxi,Mainland China,2020-03-09T01:53:01,935,1,923
4261,03/09/2020,Shandong,Mainland China,2020-03-09T10:13:06,758,6,700
4262,03/09/2020,Diamond Princess cruise ship,Others,2020-03-06T01:29:39,696,6,40
4263,03/09/2020,Jiangsu,Mainland China,2020-03-09T08:53:03,631,0,621
4264,03/09/2020,Chongqing,Mainland China,2020-03-09T23:13:03,576,6,542
4265,03/09/2020,Sichuan,Mainland China,2020-03-09T08:53:03,539,3,466
4266,03/09/2020,Japan,Japan,2020-03-09T09:13:17,511,17,76
4267,03/09/2020,Heilongjiang,Mainland China,2020-03-09T14:33:03,481,13,430
4268,03/09/2020,Beijing,Mainland China,2020-03-09T01:53:01,428,8,315
4269,03/09/2020,Switzerland,Switzerland,2020-03-09T11:33:10,374,2,3
4270,03/09/2020,Shanghai,Mainland China,2020-03-09T04:03:11,342,3,315
4271,03/09/2020,Netherlands,Netherlands,2020-03-09T18:13:11,321,3,0
4272,03/09/2020,UK,UK,2020-03-09T18:33:03,321,4,18
4273,03/09/2020,Hebei,Mainland China,2020-03-07T13:03:05,318,6,307
4274,03/09/2020,Fujian,Mainland China,2020-03-07T13:03:05,296,1,295
4275,03/09/2020,Guangxi,Mainland China,2020-03-09T00:23:09,252,2,230
4276,03/09/2020,Sweden,Sweden,2020-03-09T18:33:03,248,0,1
4277,03/09/2020,Shaanxi,Mainland China,2020-03-08T14:43:03,245,1,227
4278,03/09/2020,Belgium,Belgium,2020-03-09T10:43:05,239,0,1
4279,03/09/2020,Norway,Norway,2020-03-09T18:33:03,205,0,1
4280,03/09/2020,Yunnan,Mainland China,2020-03-06T03:23:06,174,2,170
4281,03/09/2020,Hainan,Mainland China,2020-03-08T04:33:02,168,6,159
4282,03/09/2020,Singapore,Singapore,2020-03-08T13:33:13,150,0,78
4283,03/09/2020,Guizhou,Mainland China,2020-03-09T01:13:05,146,2,123
4284,03/09/2020,Tianjin,Mainland China,2020-03-09T10:13:06,136,3,130
4285,03/09/2020,Shanxi,Mainland China,2020-03-09T11:43:02,133,0,127
4286,03/09/2020,Austria,Austria,2020-03-09T18:33:03,131,0,2
4287,03/09/2020,Liaoning,Mainland China,2020-03-08T05:13:06,125,1,109
4288,03/09/2020,Gansu,Mainland China,2020-03-09T14:33:03,124,2,88
4289,03/09/2020,Malaysia,Malaysia,2020-03-09T09:43:03,117,0,24
4290,03/09/2020,Hong Kong,Hong Kong,2020-03-09T10:03:17,115,3,59
4291,03/09/2020,"Westchester County, NY",US,2020-03-09T17:13:16,98,0,0
4292,03/09/2020,Bahrain,Bahrain,2020-03-09T10:03:17,95,0,14
4293,03/09/2020,Jilin,Mainland China,2020-03-09T14:33:03,93,1,91
4294,03/09/2020,Denmark,Denmark,2020-03-09T18:13:11,90,0,1
4295,03/09/2020,"King County, WA",US,2020-03-08T20:23:09,83,17,1
4296,03/09/2020,Xinjiang,Mainland China,2020-03-08T05:33:02,76,3,73
4297,03/09/2020,Inner Mongolia,Mainland China,2020-03-08T05:13:06,75,1,70
4298,03/09/2020,Ningxia,Mainland China,2020-03-06T12:53:03,75,0,71
4299,03/09/2020,Greece,Greece,2020-03-08T17:23:07,73,0,0
4300,03/09/2020,Kuwait,Kuwait,2020-03-08T15:33:04,64,0,1
4301,03/09/2020,Iraq,Iraq,2020-03-09T23:33:02,60,6,9
4302,03/09/2020,Iceland,Iceland,2020-03-09T10:03:17,58,0,0
4303,03/09/2020,Egypt,Egypt,2020-03-09T10:03:17,55,1,12
4304,03/09/2020,Thailand,Thailand,2020-03-07T10:13:23,50,1,31
4305,03/09/2020,New South Wales,Australia,2020-03-09T18:53:13,48,3,4
4306,03/09/2020,Taiwan,Taiwan,2020-03-09T00:33:14,45,1,15
4307,03/09/2020,Unassigned Location (From Diamond Princess),US,2020-03-02T19:53:03,45,0,0
4308,03/09/2020,United Arab Emirates,United Arab Emirates,2020-03-07T10:13:22,45,0,7
4309,03/09/2020,India,India,2020-03-09T09:13:17,43,0,3
4310,03/09/2020,Israel,Israel,2020-03-08T21:03:03,39,0,2
4311,03/09/2020,"Santa Clara County, CA",US,2020-03-08T21:23:03,38,0,1
4312,03/09/2020,San Marino,San Marino,2020-03-08T14:23:10,36,1,0
4313,03/09/2020,Ontario,Canada,2020-03-09T17:53:24,34,0,4
4314,03/09/2020,British Columbia,Canada,2020-03-09T22:43:25,32,1,4
4315,03/09/2020,Lebanon,Lebanon,2020-03-08T18:13:19,32,0,1
4316,03/09/2020,Czech Republic,Czech Republic,2020-03-08T19:53:03,31,0,0
4317,03/09/2020,"Snohomish County, WA",US,2020-03-08T21:43:03,31,1,0
4318,03/09/2020,Finland,Finland,2020-03-09T09:23:03,30,0,1
4319,03/09/2020,Portugal,Portugal,2020-03-08T19:53:03,30,0,0
4320,03/09/2020,Vietnam,Vietnam,2020-03-08T19:53:03,30,0,16
4321,03/09/2020,Brazil,Brazil,2020-03-09T10:13:06,25,0,0
4322,03/09/2020,Palestine,Palestine,2020-03-07T02:23:06,22,0,0
4323,03/09/2020,Ireland,Ireland,2020-03-09T09:53:06,21,0,0
4324,03/09/2020,Grand Princess Cruise Ship,US,2020-03-07T01:33:02,21,0,0
